date,event,team_a,team_a_id,team_b,team_b_id,score_a,score_b,winner
June 06,Mixed Easterns 2026,Compost Plates,4/aSmUKM80Qx70Or0piURnrBwbhP62PHIL3ndsIVugc=,Lampshade,totaV/kPNqC81NNWDg3ItD+m8PnQ4Dz+gw5gwAEGF5k=,1,13,Lampshade
June 06,Mixed Easterns 2026,Compost Plates,4/aSmUKM80Qx70Or0piURnrBwbhP62PHIL3ndsIVugc=,T Party,VkHpwJXoxB/T3F+HdhnXYSND4jV2Y0WGxgxFUxcuT0A=,4,13,T Party
June 06,Mixed Easterns 2026,Compost Plates,4/aSmUKM80Qx70Or0piURnrBwbhP62PHIL3ndsIVugc=,Rainbow,8HzAbPUjFPr/9IumP3P1XU09FKKANLGx8GTs/z08bjs=,4,15,Rainbow
June 06,Mixed Easterns 2026,Darkwing,GqRxILOje9DjAVCFpt/hRVmKKJvJLZEGyn2+HSCyDZI=,Slow,kLrNFLGL+3691wKBlV9/Nlk7fUFqFBK5o5Ytg6ia05E=,6,13,Slow
June 06,Mixed Easterns 2026,FLI,8bqT4wvzcSnzEizLdpxZHI+j86/Y/0CaeAm+dxDQWas=,Beached Whales,Nsj9wPoeCgoK0KyciyPxqkpa+3ebpMOXY1Ht/EhJAdI=,10,12,Beached Whales
June 06,Mixed Easterns 2026,FLI,8bqT4wvzcSnzEizLdpxZHI+j86/Y/0CaeAm+dxDQWas=,Molasses Disaster,LiPm4p/RmRmvs7jEO8xufz6gGP4guphmA8EMhdu9q2U=,7,13,Molasses Disaster
June 06,Mixed Easterns 2026,FLI,8bqT4wvzcSnzEizLdpxZHI+j86/Y/0CaeAm+dxDQWas=,Scarecrow,uaGZOwDwxK4U+/QyLlvKFvE1r8OCPkw3CpB4+ngOq7Q=,12,13,Scarecrow
June 06,Mixed Easterns 2026,Garbage Plates,GUqy8boavSE6/tdX+4oNXxm7mH/yVWVVw1Pj+iDyalk=,Darkwing,GqRxILOje9DjAVCFpt/hRVmKKJvJLZEGyn2+HSCyDZI=,8,13,Darkwing
June 06,Mixed Easterns 2026,Garbage Plates,GUqy8boavSE6/tdX+4oNXxm7mH/yVWVVw1Pj+iDyalk=,Slow,kLrNFLGL+3691wKBlV9/Nlk7fUFqFBK5o5Ytg6ia05E=,7,13,Slow
June 06,Mixed Easterns 2026,Hartford Current,VjRtMcM3mJKtI4lb6OiCpAvT3a2SHg+YFexQ2WvbX9U=,Scarecrow,uaGZOwDwxK4U+/QyLlvKFvE1r8OCPkw3CpB4+ngOq7Q=,9,13,Scarecrow
