team_id,team_name,school_name,city_state,region,section,competition_level,gender_division,team_page_url,wins,losses,games_scraped
rFW35tKX+F5k1VUilcf5eo+y3uR8vPeMHpD9ggaiiFM=,A La Carte-B,,"San Antonio, Texas",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=rFW35tKX%2bF5k1VUilcf5eo%2by3uR8vPeMHpD9ggaiiFM%3d,0,8,9
rSru2iQVijRN3Q7DeNCkuieoQ5B0S1bd8EPah508Ih8=,Adventure Time,,"Houston, Texas",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=rSru2iQVijRN3Q7DeNCkuieoQ5B0S1bd8EPah508Ih8%3d,0,0,0
qzCNfxjO0h7aKBBeTKnUtCklUSazMG7SFUgprnu1bvo=,AFC Rumble,,"Edmonton, Alberta CA",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=qzCNfxjO0h7aKBBeTKnUtCklUSazMG7SFUgprnu1bvo%3d,8,5,13
dbxpmB4TIQuNyZu0GrKQvhN20/eT9ON0Be8LwXNhyaM=,Alamode,,"San Antonio, Texas",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=dbxpmB4TIQuNyZu0GrKQvhN20%2feT9ON0Be8LwXNhyaM%3d,14,8,22
Aj5fiF7w/yEfoer8JKqK53VHt5FC8HNvnLkIVxh6+1w=,Alibi,,"Albany, New York",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=Aj5fiF7w%2fyEfoer8JKqK53VHt5FC8HNvnLkIVxh6%2b1w%3d,14,17,31
u8COCAnqrqp+FL80rrYcxQLFWx/U4pi660VcYTLqvlc=,Alliance,,"Alabama, Alabama",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=u8COCAnqrqp%2bFL80rrYcxQLFWx%2fU4pi660VcYTLqvlc%3d,11,11,22
7meABNnyTgntnsixubOujDj5e6MkIi/4SArn/eWduZs=,Alliance 2,,"Alabama, Alabama",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=7meABNnyTgntnsixubOujDj5e6MkIi%2f4SArn%2feWduZs%3d,4,12,16
TXWU9QzBN9YlTvoeY2bAuahYPMkDCIxX5GabsRVJ91g=,Anchor,,"San Francisco, California",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=TXWU9QzBN9YlTvoeY2bAuahYPMkDCIxX5GabsRVJ91g%3d,0,6,6
S1bLzhpnuqVfaUZelXYHYDuy6v4ovlQg3WBNa/JGtqM=,Arcane Edge,,"Sherman, New York",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=S1bLzhpnuqVfaUZelXYHYDuy6v4ovlQg3WBNa%2fJGtqM%3d,0,5,5
iKighCCBsPXLBSCZa+AjOIJ/0PyycJycZNMbEOcIqLk=,Ascension,,"Sherbrooke, Quebec CA",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=iKighCCBsPXLBSCZa%2bAjOIJ%2f0PyycJycZNMbEOcIqLk%3d,10,9,19
7XMB3J0hHgzXiI0qop+XDG2DGW1L+lgrbbsFYNqgM3s=,Atlanta Arson,,"Atlanta, Georgia",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=7XMB3J0hHgzXiI0qop%2bXDG2DGW1L%2blgrbbsFYNqgM3s%3d,21,9,30
zapd7oVf4QDJtCU6m/VUs2wLdhGivMzWVygb8fcyM9Y=,Atlanta Outlaws,,"Atlanta, Georgia",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=zapd7oVf4QDJtCU6m%2fVUs2wLdhGivMzWVygb8fcyM9Y%3d,3,12,17
oJI003j1E578asogdN4eM4YvcGkYS/LPuo6fBl88xy4=,Avenue -A,,"Seattle , Washington",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=oJI003j1E578asogdN4eM4YvcGkYS%2fLPuo6fBl88xy4%3d,3,3,6
74kz2kCpP1kKdb4TbkiJXJuusrYcOvSHF6KgHqYBt7A=,BAG,,"Somerville, Massachusetts",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=74kz2kCpP1kKdb4TbkiJXJuusrYcOvSHF6KgHqYBt7A%3d,13,8,21
kokKe2MCNJWNIh8IKxcdANMFpNaGLhQgPF5zt8j9Aio=,Ballpit,,"Northampton, Massachusetts",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=kokKe2MCNJWNIh8IKxcdANMFpNaGLhQgPF5zt8j9Aio%3d,0,0,0
IxsH/0dJeZd5uBtAwbSfx0KPsQh6NtjxcfVZnonGKaQ=,baNC,,"Charlotte, North Carolina",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=IxsH%2f0dJeZd5uBtAwbSfx0KPsQh6NtjxcfVZnonGKaQ%3d,25,6,31
gD0/XAc7IwcB7H7gkY8cOI6N+8EZVbnOLnBCh+9LDKU=,BANG,,"Burlington, Vermont",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=gD0%2fXAc7IwcB7H7gkY8cOI6N%2b8EZVbnOLnBCh%2b9LDKU%3d,0,5,5
aU8vr08l3P95aa5tGjSGenw9V0s1QG26UpDH3wyh3/A=,Barefoot,,"Tupelo, Mississippi",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=aU8vr08l3P95aa5tGjSGenw9V0s1QG26UpDH3wyh3%2fA%3d,3,14,17
oeX/aWEFtJAAqIac/S4r/C8x0fK5vQjbnTKPUOmhK2Q=,BARNSTORM,,"Oklahoma City, Oklahoma",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=oeX%2faWEFtJAAqIac%2fS4r%2fC8x0fK5vQjbnTKPUOmhK2Q%3d,14,12,26
C9K1vcrrfyoYDFsLVjtZZKnN61uUCAfbsr0OangDnXw=,BART,,"SAN FRANCISCO, California",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=C9K1vcrrfyoYDFsLVjtZZKnN61uUCAfbsr0OangDnXw%3d,3,3,6
r4dx9pE1BaOw4OgVIQkDWdH/DQc9DVNj/Z/lPv21hkI=,Bartle Boys,,"New York, New York",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=r4dx9pE1BaOw4OgVIQkDWdH%2fDQc9DVNj%2fZ%2flPv21hkI%3d,0,0,0
GPRgSX/jpPQ9t/93VSXlekdBZPcLeo+nZ8muqpGST2M=,Battery,,"San Francisco, California",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=GPRgSX%2fjpPQ9t%2f93VSXlekdBZPcLeo%2bnZ8muqpGST2M%3d,10,13,23
HCxh4fS1TG9TmX9nmty0yCJN+NlIi018T4Sana14f+g=,Battleship,,"Mobile, Alabama",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=HCxh4fS1TG9TmX9nmty0yCJN%2bNlIi018T4Sana14f%2bg%3d,13,6,19
TrVHP8XZnxBf3t+8TMfYiOs5Q1NO7+PEUlXlv2w1fh8=,Bay Dog,,"Albany, California",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=TrVHP8XZnxBf3t%2b8TMfYiOs5Q1NO7%2bPEUlXlv2w1fh8%3d,3,3,6
RpxJbCHhMEJpqCEkqBWKGpvMjIR5gOiE6x3sn92oCXU=,BDC,,"Washington , District of Columbia",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=RpxJbCHhMEJpqCEkqBWKGpvMjIR5gOiE6x3sn92oCXU%3d,2,2,4
PfRSd2sdA11S1Gp35KpDpvBZwBSYfShNAn7gyb9AZhE=,Beef Depot,,"Washington, District of Columbia",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=PfRSd2sdA11S1Gp35KpDpvBZwBSYfShNAn7gyb9AZhE%3d,13,14,28
/SXWTyaeRtB7g85yvYZz+W/Q23tQN6FflCSPSDm9vdY=,Beef Depot (Development)-Dev,,"Washington, District of Columbia",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=%2fSXWTyaeRtB7g85yvYZz%2bW%2fQ23tQN6FflCSPSDm9vdY%3d,4,10,14
yEyLZhvJXZONCZhBOHQkYh3eV8YppHfEkGaxXKYlAVo=,BFD LaFotta,,"Bologna, Italy IT",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=yEyLZhvJXZONCZhBOHQkYh3eV8YppHfEkGaxXKYlAVo%3d,2,4,6
ubUAcJ1X+Mi00LRk/Ig7ptZKnbrwfbQOLc3PvofDHbA=,"BGF SL,UT",,"San Francisco , California",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=ubUAcJ1X%2bMi00LRk%2fIg7ptZKnbrwfbQOLc3PvofDHbA%3d,0,6,6
F7j4OpbZxKVZsUF140X+vHjXE2/1wD8Aq5Fz4Z19W/o=,Big Gordo's Racing,,"Burlington, Vermont",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=F7j4OpbZxKVZsUF140X%2bvHjXE2%2f1wD8Aq5Fz4Z19W%2fo%3d,0,5,5
gXN9s50xnuVgwJoIoK2Kqlc+4adFociggxVn1KVVFbw=,Big Wrench,,"Somerville, Massachusetts",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=gXN9s50xnuVgwJoIoK2Kqlc%2b4adFociggxVn1KVVFbw%3d,10,10,20
b6v5dB0TLDmN4AOaMOXFKHn5fnluqvI0dXE61qnh694=,Black Gold,,"Houston, Texas",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=b6v5dB0TLDmN4AOaMOXFKHn5fnluqvI0dXE61qnh694%3d,7,11,18
ns/rTN90M9u7e+XL81WmjgvXWPWhRZZvChbfURUi2Xk=,Black Lung,,"Lexington, Kentucky",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=ns%2frTN90M9u7e%2bXL81WmjgvXWPWhRZZvChbfURUi2Xk%3d,19,13,32
jX2ats8rtvYm5J6B1WxoW5fa/7KnXKIXWeIU6Aa+AUw=,Blackfish,,"Vancouver, British Columbia CA",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=jX2ats8rtvYm5J6B1WxoW5fa%2f7KnXKIXWeIU6Aa%2bAUw%3d,5,7,12
FVMWbCDoEISIWARN96wiTDVARhEW585vXl0Q/cIqqok=,Blink,,"Whitestown, Indiana",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=FVMWbCDoEISIWARN96wiTDVARhEW585vXl0Q%2fcIqqok%3d,1,5,6
36IqI7cDYSu68kANDDzyCyqbeqcHO0eQBEHveads2hY=,Bloom,,"Orlando, Florida",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=36IqI7cDYSu68kANDDzyCyqbeqcHO0eQBEHveads2hY%3d,0,0,0
6gCVGAe8sM2L+D6PNMgnI9wvKZNxn2bt30aJoJaLbB0=,Blueprint,,"New York, New York",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=6gCVGAe8sM2L%2bD6PNMgnI9wvKZNxn2bt30aJoJaLbB0%3d,19,10,29
bbMR76YzQ89eum9t9djv/XSkL8FPPtUoFFAHCDBOlg0=,Bobcats,,"Berkeley, California",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=bbMR76YzQ89eum9t9djv%2fXSkL8FPPtUoFFAHCDBOlg0%3d,0,0,0
Xa0VyEZRJThoptGkjCNFgsKvX1+VLo0RJ3aaoQIsIqI=,Bomb Squad,,"Baltimore, Maryland",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=Xa0VyEZRJThoptGkjCNFgsKvX1%2bVLo0RJ3aaoQIsIqI%3d,5,17,22
QsXsgTTt55BYkNcVfzsSzrP0Sb5e/p2bLaY45BJEPJc=,Bonsoon,,"Tempe, Arizona",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=QsXsgTTt55BYkNcVfzsSzrP0Sb5e%2fp2bLaY45BJEPJc%3d,0,0,0
RD5ZcLHetbsQJZy9WUqXjxTEzf6oGH9Pm5gLA8LhVIg=,Bonzaiiiii!!,,"Austin, Texas",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=RD5ZcLHetbsQJZy9WUqXjxTEzf6oGH9Pm5gLA8LhVIg%3d,6,11,18
3GXulzEBXGYOOlMeTRcFjmLtWadRy5oHI62v5FrumXA=,Brawl,,"Dallas, Texas",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=3GXulzEBXGYOOlMeTRcFjmLtWadRy5oHI62v5FrumXA%3d,22,10,32
skLGkd3Z4ZIAysrGcOwddVaeIRxYhf6ijj2N6kxFIQ4=,Brown C (MotherShip)-C,,"Providence, Rhode Island",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=skLGkd3Z4ZIAysrGcOwddVaeIRxYhf6ijj2N6kxFIQ4%3d,0,0,0
8nNUti99EEc9yLntEABBgxbNdZv4fRpfwYE0ZP0hdqM=,Bryce Whitney Fan Club,,"Williamsburg, Virginia",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=8nNUti99EEc9yLntEABBgxbNdZv4fRpfwYE0ZP0hdqM%3d,1,3,4
hCWdYvg87P7aphNl49KoGXolsoUldOAVx13MlXqZH3U=,Bud,,"Orlando, Florida",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=hCWdYvg87P7aphNl49KoGXolsoUldOAVx13MlXqZH3U%3d,1,4,5
LXGbMc4hneG0JX0lFXhbr2b8rKUFP1WwkUK/VF5fqAE=,Buffalo Frostbite,,"Buffalo, New York",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=LXGbMc4hneG0JX0lFXhbr2b8rKUFP1WwkUK%2fVF5fqAE%3d,8,18,27
p+9nRXip39atsmRsJg5haP7bcV6hrrQuumSibyxaK6Y=,Bunka Shutter Buzz Bullets,,"Tokyo, Tokyo JP",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=p%2b9nRXip39atsmRsJg5haP7bcV6hrrQuumSibyxaK6Y%3d,1,5,6
