team_id,team_name,school_name,city_state,region,section,competition_level,gender_division,team_page_url,wins,losses,games_scraped
N57z3ai+YxMyoc5VI/np5mXWXR4yCuxBBPn5/8D9+Xg=,2026 Fungi Tryouts,,"Denver, Colorado",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=N57z3ai%2bYxMyoc5VI%2fnp5mXWXR4yCuxBBPn5%2f8D9%2bXg%3d,0,0,0
tiOF8NvBVdp3F/u64/dw5aIcjCgkcbOaGs6QLji/mxw=,AFC Rumble,,"Edmonton, Alberta CA",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=tiOF8NvBVdp3F%2fu64%2fdw5aIcjCgkcbOaGs6QLji%2fmxw%3d,0,0,0
TFb3UQ1KPZgsrNbb6lnq/h3lfQ+uI5paTU94EBjte/Q=,Afterburner,,"Huntsville, Alabama",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=TFb3UQ1KPZgsrNbb6lnq%2fh3lfQ%2buI5paTU94EBjte%2fQ%3d,0,0,0
p3+lO94Y6YxTlI78NzTASuEFTkEvz31JqR+/bbgYZcU=,Alamode,,"San Antonio, Texas",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=p3%2blO94Y6YxTlI78NzTASuEFTkEvz31JqR%2b%2fbbgYZcU%3d,6,0,6
eGxBmGLf0RIzv1yxPwb7Q38yNe6WncJBOOHTJcLjKto=,Alibi,,"Albany, New York",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=eGxBmGLf0RIzv1yxPwb7Q38yNe6WncJBOOHTJcLjKto%3d,4,3,7
TQOztnzeVEogyMTJ6idAK60u0ir6b1SP+sb6UJIyGR4=,Alliance,,"Alabama, Alabama",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=TQOztnzeVEogyMTJ6idAK60u0ir6b1SP%2bsb6UJIyGR4%3d,5,7,12
mTNMNNtJ2JnVk1oe41rrEOkUGxveJeGbkXV0eub3RaQ=,Alliance 2,,"Alabama, Alabama",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=mTNMNNtJ2JnVk1oe41rrEOkUGxveJeGbkXV0eub3RaQ%3d,0,0,0
37IDyG1svin4vuvMj86ew86IL2qxgcr6j4Pp/gAKbNA=,Anchor,,"San Francisco, California",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=37IDyG1svin4vuvMj86ew86IL2qxgcr6j4Pp%2fgAKbNA%3d,0,5,5
mIY1xvME8ehFXBvUmB98qfaBVV+p1UzL/9FnDn3/kok=,Apollo,,"Huntsville, Alabama",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=mIY1xvME8ehFXBvUmB98qfaBVV%2bp1UzL%2f9FnDn3%2fkok%3d,3,2,5
ytF3grfq4UpOkZu1rOJz/nTjoRTkSFVIuD5Mp05Uqk0=,Apollo,,"Little Rock, Arkansas",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=ytF3grfq4UpOkZu1rOJz%2fnTjoRTkSFVIuD5Mp05Uqk0%3d,0,0,0
BlGvkJ63CbEtjl23BJic/yooRu5uWsP404cLqlGY3Bc=,Arizona Frisbee Club,,"Tucson, Arizona",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=BlGvkJ63CbEtjl23BJic%2fyooRu5uWsP404cLqlGY3Bc%3d,3,4,7
UqEktqhi6y04dvibhXd96l1xLdW33QhUM9gYQRbynwg=,Ascension,,"Sherbrooke, Quebec CA",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=UqEktqhi6y04dvibhXd96l1xLdW33QhUM9gYQRbynwg%3d,0,0,0
eD6oFvCIPh9qhKcEjfSyLKftKMexENCwHe1JazkGp7w=,Atlanta Arson,,"Atlanta, Georgia",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=eD6oFvCIPh9qhKcEjfSyLKftKMexENCwHe1JazkGp7w%3d,2,2,4
77ekzzGk7QCHveC6uiBrb0Fqe1+LCrOIRwSV+4ptEcQ=,Atlanta Outlaws,,"Atlanta, Georgia",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=77ekzzGk7QCHveC6uiBrb0Fqe1%2bLCrOIRwSV%2b4ptEcQ%3d,1,5,6
4ZRgUSClgp0WHncGHJwSuhDDObUXjPnm8tER6vgCbCk=,BAG,,"Somerville, Massachusetts",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=4ZRgUSClgp0WHncGHJwSuhDDObUXjPnm8tER6vgCbCk%3d,3,0,3
u9ZEaQaLyECHUbFi9ttJLQyrLvKM0kqvefdf7MUpSG8=,baNC,,"Charlotte, North Carolina",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=u9ZEaQaLyECHUbFi9ttJLQyrLvKM0kqvefdf7MUpSG8%3d,0,6,6
Fe5N/QqzExQIL4v5V+3rqpQUErq7hSO4K5radOpBAl4=,BANG,,"Burlington, Vermont",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=Fe5N%2fQqzExQIL4v5V%2b3rqpQUErq7hSO4K5radOpBAl4%3d,4,2,6
r+9coDObCx3LOyQdlTKRzT+Z4f5W59cY8tra81cu0MM=,Barefoot,,"Tupelo, Mississippi",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=r%2b9coDObCx3LOyQdlTKRzT%2bZ4f5W59cY8tra81cu0MM%3d,2,4,6
j631VhIy4cjxz5OYV2BKFzuUKpqtm8BT1/qwVcZoKNs=,Battery,,"San Francisco, California",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=j631VhIy4cjxz5OYV2BKFzuUKpqtm8BT1%2fqwVcZoKNs%3d,3,3,6
