date,event,team_a,team_a_id,team_b,team_b_id,score_a,score_b,winner
August 01,2025 U.S. Open Club Championships (ICC),BFG,9Rd5FvHs6ndiKVFGYYTTt1fVbBOwCu8CaexaHUd8o08=,Voltaje U.C,QHZSXDZGGAvS7CRIAazWmxZTwFZQrY83ijFEBdJlmJo=,15,5,BFG
August 01,2025 U.S. Open Club Championships (ICC),BFG,9Rd5FvHs6ndiKVFGYYTTt1fVbBOwCu8CaexaHUd8o08=,Rally,lZbqNDtI/4q5E5r+amF44siOA2ayq5bZkWPnrDS5VkU=,15,5,BFG
August 01,2025 U.S. Open Club Championships (ICC),Drag'n Thrust,FGjJa+vWCpW2IvjybxBkPRXFxf0VCITGEOAjN98fHsQ=,Hybrid,M+mQ6Zb452AgUyS17WYGfTI7u0zcGCICR0Am4Bp9wfw=,12,15,Hybrid
August 01,2025 U.S. Open Club Championships (ICC),Hybrid,M+mQ6Zb452AgUyS17WYGfTI7u0zcGCICR0Am4Bp9wfw=,Austin Disco Club,iNTNQ3IB/K5gpsYiDLXeP0JrAd7erCUGLuntyoA7T8g=,12,9,Hybrid
August 01,2025 U.S. Open Club Championships (ICC),Lawless,/tFJRLfBnNmAuQF0xvyE0SEvAqBYV5uhVxzP1y9ysbc=,Austin Disco Club,iNTNQ3IB/K5gpsYiDLXeP0JrAd7erCUGLuntyoA7T8g=,13,15,Austin Disco Club
August 01,2025 U.S. Open Club Championships (ICC),Lawless,/tFJRLfBnNmAuQF0xvyE0SEvAqBYV5uhVxzP1y9ysbc=,Drag'n Thrust,FGjJa+vWCpW2IvjybxBkPRXFxf0VCITGEOAjN98fHsQ=,11,15,Drag'n Thrust
August 01,2025 U.S. Open Club Championships (ICC),Lawless,/tFJRLfBnNmAuQF0xvyE0SEvAqBYV5uhVxzP1y9ysbc=,Slow,KIDUXMMJoIKcnPweBVfwKW9YNhx0qZ72YDVJ+Gn7Vq4=,10,15,Slow
August 01,2025 U.S. Open Club Championships (ICC),Makawua,7kdZIgZtlyEvHA52LW8H2zYJXnEZ0GrlsJXu9NLuk8A=,Drag'n Thrust,FGjJa+vWCpW2IvjybxBkPRXFxf0VCITGEOAjN98fHsQ=,5,15,Drag'n Thrust
August 01,2025 U.S. Open Club Championships (ICC),Makawua,7kdZIgZtlyEvHA52LW8H2zYJXnEZ0GrlsJXu9NLuk8A=,Hybrid,M+mQ6Zb452AgUyS17WYGfTI7u0zcGCICR0Am4Bp9wfw=,3,15,Hybrid
August 01,2025 U.S. Open Club Championships (ICC),Makawua,7kdZIgZtlyEvHA52LW8H2zYJXnEZ0GrlsJXu9NLuk8A=,Slow,KIDUXMMJoIKcnPweBVfwKW9YNhx0qZ72YDVJ+Gn7Vq4=,5,15,Slow
August 01,2025 U.S. Open Club Championships (ICC),Slow,KIDUXMMJoIKcnPweBVfwKW9YNhx0qZ72YDVJ+Gn7Vq4=,Austin Disco Club,iNTNQ3IB/K5gpsYiDLXeP0JrAd7erCUGLuntyoA7T8g=,11,15,Austin Disco Club
August 01,2025 U.S. Open Club Championships (ICC),Sprocket,2o/x2xG1dtciVQ8HveGmuiUH8jRjTKMgq24g9w9IUP8=,BFG,9Rd5FvHs6ndiKVFGYYTTt1fVbBOwCu8CaexaHUd8o08=,9,15,BFG
August 01,2025 U.S. Open Club Championships (ICC),Sprocket,2o/x2xG1dtciVQ8HveGmuiUH8jRjTKMgq24g9w9IUP8=,Voltaje U.C,QHZSXDZGGAvS7CRIAazWmxZTwFZQrY83ijFEBdJlmJo=,15,11,Sprocket
August 01,2025 U.S. Open Club Championships (ICC),Sprocket,2o/x2xG1dtciVQ8HveGmuiUH8jRjTKMgq24g9w9IUP8=,XIST,hx6RIagfWiD91Hj/1A1nxomWIWvFwSV0VToyojH4htw=,15,14,Sprocket
August 01,2025 U.S. Open Club Championships (ICC),XIST,hx6RIagfWiD91Hj/1A1nxomWIWvFwSV0VToyojH4htw=,Rally,lZbqNDtI/4q5E5r+amF44siOA2ayq5bZkWPnrDS5VkU=,15,14,XIST
August 01,2025 U.S. Open Club Championships (ICC),shame.,Fo1cdvngmHN9474Oe6pGNy+INHwi8/hIDyqrOhUS5iQ=,Rally,lZbqNDtI/4q5E5r+amF44siOA2ayq5bZkWPnrDS5VkU=,11,15,Rally
August 01,2025 U.S. Open Club Championships (ICC),shame.,Fo1cdvngmHN9474Oe6pGNy+INHwi8/hIDyqrOhUS5iQ=,XIST,hx6RIagfWiD91Hj/1A1nxomWIWvFwSV0VToyojH4htw=,15,12,shame.
August 01,2025 U.S. Open Club Championships (ICC),shame.,Fo1cdvngmHN9474Oe6pGNy+INHwi8/hIDyqrOhUS5iQ=,Voltaje U.C,QHZSXDZGGAvS7CRIAazWmxZTwFZQrY83ijFEBdJlmJo=,15,10,shame.
August 02,2025 U.S. Open Club Championships (ICC),BFG,9Rd5FvHs6ndiKVFGYYTTt1fVbBOwCu8CaexaHUd8o08=,Drag'n Thrust,FGjJa+vWCpW2IvjybxBkPRXFxf0VCITGEOAjN98fHsQ=,12,15,Drag'n Thrust
August 02,2025 U.S. Open Club Championships (ICC),BFG,9Rd5FvHs6ndiKVFGYYTTt1fVbBOwCu8CaexaHUd8o08=,shame.,Fo1cdvngmHN9474Oe6pGNy+INHwi8/hIDyqrOhUS5iQ=,14,12,BFG
August 02,2025 U.S. Open Club Championships (ICC),Drag'n Thrust,FGjJa+vWCpW2IvjybxBkPRXFxf0VCITGEOAjN98fHsQ=,Austin Disco Club,iNTNQ3IB/K5gpsYiDLXeP0JrAd7erCUGLuntyoA7T8g=,14,15,Austin Disco Club
August 02,2025 U.S. Open Club Championships (ICC),Lawless,/tFJRLfBnNmAuQF0xvyE0SEvAqBYV5uhVxzP1y9ysbc=,Voltaje U.C,QHZSXDZGGAvS7CRIAazWmxZTwFZQrY83ijFEBdJlmJo=,15,14,Lawless
August 02,2025 U.S. Open Club Championships (ICC),Lawless,/tFJRLfBnNmAuQF0xvyE0SEvAqBYV5uhVxzP1y9ysbc=,Makawua,7kdZIgZtlyEvHA52LW8H2zYJXnEZ0GrlsJXu9NLuk8A=,15,4,Lawless
August 02,2025 U.S. Open Club Championships (ICC),Makawua,7kdZIgZtlyEvHA52LW8H2zYJXnEZ0GrlsJXu9NLuk8A=,XIST,hx6RIagfWiD91Hj/1A1nxomWIWvFwSV0VToyojH4htw=,3,15,XIST
August 02,2025 U.S. Open Club Championships (ICC),Slow,KIDUXMMJoIKcnPweBVfwKW9YNhx0qZ72YDVJ+Gn7Vq4=,Hybrid,M+mQ6Zb452AgUyS17WYGfTI7u0zcGCICR0Am4Bp9wfw=,9,15,Hybrid
August 02,2025 U.S. Open Club Championships (ICC),Slow,KIDUXMMJoIKcnPweBVfwKW9YNhx0qZ72YDVJ+Gn7Vq4=,Rally,lZbqNDtI/4q5E5r+amF44siOA2ayq5bZkWPnrDS5VkU=,15,11,Slow
August 02,2025 U.S. Open Club Championships (ICC),Sprocket,2o/x2xG1dtciVQ8HveGmuiUH8jRjTKMgq24g9w9IUP8=,Hybrid,M+mQ6Zb452AgUyS17WYGfTI7u0zcGCICR0Am4Bp9wfw=,10,15,Hybrid
August 02,2025 U.S. Open Club Championships (ICC),Sprocket,2o/x2xG1dtciVQ8HveGmuiUH8jRjTKMgq24g9w9IUP8=,Rally,lZbqNDtI/4q5E5r+amF44siOA2ayq5bZkWPnrDS5VkU=,15,9,Sprocket
August 02,2025 U.S. Open Club Championships (ICC),Voltaje U.C,QHZSXDZGGAvS7CRIAazWmxZTwFZQrY83ijFEBdJlmJo=,XIST,hx6RIagfWiD91Hj/1A1nxomWIWvFwSV0VToyojH4htw=,9,15,XIST
August 02,2025 U.S. Open Club Championships (ICC),shame.,Fo1cdvngmHN9474Oe6pGNy+INHwi8/hIDyqrOhUS5iQ=,Austin Disco Club,iNTNQ3IB/K5gpsYiDLXeP0JrAd7erCUGLuntyoA7T8g=,13,15,Austin Disco Club
