team_id,team_name,school_name,city_state,region,section,competition_level,gender_division,team_page_url,wins,losses,games_scraped
GsMW8VzrHLPRTR9pVkWjEfzSYzviXwolTe7SdGpLs2s=,'Shine,,"Nashville, Tennessee",,,Club,Mixed,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=GsMW8VzrHLPRTR9pVkWjEfzSYzviXwolTe7SdGpLs2s%3d,12,6,18
V4Sds0klRys0FQBm+otKsuXpZlGiN96CqUUx5Lh42e0=,2025 Goaltimate Season,,"New York, New York",,,Club,Mixed,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=V4Sds0klRys0FQBm%2botKsuXpZlGiN96CqUUx5Lh42e0%3d,0,0,0
tbePDDOiossyyaUEpvZU7trFM+0Fx8xkvUUaAZs8Nyk=,2025 NYC Club Season,,"New York, New York",,,Club,Mixed,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=tbePDDOiossyyaUEpvZU7trFM%2b0Fx8xkvUUaAZs8Nyk%3d,0,0,0
yBPP1lnOB50sBVNqKObanSCJwkbqYG1rZ2Kj4rbP8p8=,2025 WG Tryouts,,"Colorado Springs, Colorado",,,Club,Mixed,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=yBPP1lnOB50sBVNqKObanSCJwkbqYG1rZ2Kj4rbP8p8%3d,0,0,0
I9Kz60CyGIUEAl1xOm+sd+F4IoBkAUISFdaCjaSCox8=,2025 World Games National Team,,"Colorado Springs, Colorado",,,Club,Mixed,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=I9Kz60CyGIUEAl1xOm%2bsd%2bF4IoBkAUISFdaCjaSCox8%3d,0,0,0
dP1A6OP94R33I5fFDvqh6Yh80LyqLOZSxttCzz3FBes=,Aged Cheddar,,"Burlington, Vermont",,,Club,Mixed,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=dP1A6OP94R33I5fFDvqh6Yh80LyqLOZSxttCzz3FBes%3d,9,7,16
KMPP9G66awfTUZ0dAiHjZLaULpfLBeyW9cYYEmzT6cU=,Air Throwmads,,"San Mateo, California",,,Club,Mixed,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=KMPP9G66awfTUZ0dAiHjZLaULpfLBeyW9cYYEmzT6cU%3d,0,0,0
Iu5pdj/4BI2CdIQmdZSZOT77eFmEsJHZdlR2riZq/Iw=,aka Babymaker,Nothing's Great Again,"Chicago, Illinois",,,Club,Mixed,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=Iu5pdj%2f4BI2CdIQmdZSZOT77eFmEsJHZdlR2riZq%2fIw%3d,4,8,12
BjCYrweNwXBPauZyX8WrzHUVR5nGH69Keb8ysHry6Qc=,"All Jeeps, All Night. -A",,"Boulder, Colorado",,,Club,Mixed,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=BjCYrweNwXBPauZyX8WrzHUVR5nGH69Keb8ysHry6Qc%3d,9,14,23
FeKTD4u5AFjLUVfdpWtL3X2bDkenRInNiBDA96FPIio=,Amber,,"Baton Rouge, Louisiana",,,Club,Mixed,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=FeKTD4u5AFjLUVfdpWtL3X2bDkenRInNiBDA96FPIio%3d,14,5,19
fiNrpssfnFtsp5nIVMS6LKYbMGrsWslzR3nGtUNbo58=,American Barbecue,,"San Francisco, California",,,Club,Mixed,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=fiNrpssfnFtsp5nIVMS6LKYbMGrsWslzR3nGtUNbo58%3d,14,9,23
H2OvHwcgldP6AFyuuYkdVuEu4M5aP4RH7+MGtjNbjBo=,AMP,,"Philadelphia, Pennsylvania",,,Club,Mixed,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=H2OvHwcgldP6AFyuuYkdVuEu4M5aP4RH7%2bMGtjNbjBo%3d,15,11,26
+p/y4g95mlpd850EwXqs0FPkDhYrOAGIwdTf6Yp1lcY=,Anarchy,,"Austin, Texas",,,Club,Mixed,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=%2bp%2fy4g95mlpd850EwXqs0FPkDhYrOAGIwdTf6Yp1lcY%3d,3,1,4
tOuXJ/S/x6bg6uB5Lz1ff8/4k2rOQpnErzYZ+/KiH1A=,Ant Madness,,"Washington, District of Columbia",,,Club,Mixed,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=tOuXJ%2fS%2fx6bg6uB5Lz1ff8%2f4k2rOQpnErzYZ%2b%2fKiH1A%3d,13,11,25
