season,division,tournament_name,team_name,team_city_state,stable_team_key,player_name,stable_player_key,jersey,position,height
2026,mixed,2026 Pro Elite Challenge East,'Shine,"Nashville, Tennessee",shine_nashvilletennessee_mixed,Avi Ghitterman,avighitterman,0,Defense (Puller),"3'11"""
2026,mixed,2026 Pro Elite Challenge East,'Shine,"Nashville, Tennessee",shine_nashvilletennessee_mixed,Benjamin Price,benjaminprice,0,,
2026,mixed,2026 Pro Elite Challenge East,'Shine,"Nashville, Tennessee",shine_nashvilletennessee_mixed,Cate McAfee,catemcafee,0,,
2026,mixed,2026 Pro Elite Challenge East,'Shine,"Nashville, Tennessee",shine_nashvilletennessee_mixed,Grace Castro,gracecastro,0,,
2026,mixed,2026 Pro Elite Challenge East,'Shine,"Nashville, Tennessee",shine_nashvilletennessee_mixed,Grace Robinson,gracerobinson,0,,
2026,mixed,2026 Pro Elite Challenge East,'Shine,"Nashville, Tennessee",shine_nashvilletennessee_mixed,James Kloss,jameskloss,0,,
2026,mixed,2026 Pro Elite Challenge East,'Shine,"Nashville, Tennessee",shine_nashvilletennessee_mixed,Dane Gore,danegore,0,,
2026,mixed,2026 Pro Elite Challenge East,'Shine,"Nashville, Tennessee",shine_nashvilletennessee_mixed,Kali Wicklund,kaliwicklund,0,,
2026,mixed,2026 Pro Elite Challenge East,'Shine,"Nashville, Tennessee",shine_nashvilletennessee_mixed,Katharine Gilbert,katharinegilbert,0,,"5'5"""
2026,mixed,2026 Pro Elite Challenge East,'Shine,"Nashville, Tennessee",shine_nashvilletennessee_mixed,Mia Letterie,mialetterie,0,,
2026,mixed,2026 Pro Elite Challenge East,'Shine,"Nashville, Tennessee",shine_nashvilletennessee_mixed,Rebecca Henley,rebeccahenley,0,Cutter,"5'7"""
2026,mixed,2026 Pro Elite Challenge East,'Shine,"Nashville, Tennessee",shine_nashvilletennessee_mixed,Mary Otten,maryotten,0,,
2026,mixed,2026 Pro Elite Challenge East,'Shine,"Nashville, Tennessee",shine_nashvilletennessee_mixed,Nicholas Farren,nicholasfarren,6,Handler/Cutter,"5'10"""
2026,mixed,2026 Pro Elite Challenge East,'Shine,"Nashville, Tennessee",shine_nashvilletennessee_mixed,JohnThomas Atema,johnthomasatema,9,,"5'11"""
2026,mixed,2026 Pro Elite Challenge East,'Shine,"Nashville, Tennessee",shine_nashvilletennessee_mixed,Christopher Calhoun,christophercalhoun,9,Mid,"5'8"""
2026,mixed,2026 Pro Elite Challenge East,'Shine,"Nashville, Tennessee",shine_nashvilletennessee_mixed,Nicolas Lanas,nicolaslanas,12,,
2026,mixed,2026 Pro Elite Challenge East,'Shine,"Nashville, Tennessee",shine_nashvilletennessee_mixed,Adriana  Oceguera,adrianaoceguera,15,Defense (Cutter/Handler),"5'2"""
2026,mixed,2026 Pro Elite Challenge East,'Shine,"Nashville, Tennessee",shine_nashvilletennessee_mixed,Rachel Barr,rachelbarr,17,Cutter,"5'3"""
2026,mixed,2026 Pro Elite Challenge East,'Shine,"Nashville, Tennessee",shine_nashvilletennessee_mixed,Stacy Lu,stacylu,18,,"5'0"""
2026,mixed,2026 Pro Elite Challenge East,'Shine,"Nashville, Tennessee",shine_nashvilletennessee_mixed,Jacob Flowers,jacobflowers,18,Defense (Puller),"6'7"""
2026,mixed,2026 Pro Elite Challenge East,'Shine,"Nashville, Tennessee",shine_nashvilletennessee_mixed,Carson Chamberlain,carsonchamberlain,21,,"5'10"""
2026,mixed,2026 Pro Elite Challenge East,'Shine,"Nashville, Tennessee",shine_nashvilletennessee_mixed,Levi Branan,levibranan,44,Defense (Puller),
2026,mixed,2026 Pro Elite Challenge East,'Shine,"Nashville, Tennessee",shine_nashvilletennessee_mixed,Chris Bauer,chrisbauer,61,,"5'0"""
2026,mixed,2026 Pro Elite Challenge East,'Shine,"Nashville, Tennessee",shine_nashvilletennessee_mixed,Samantha Montgomery,samanthamontgomery,88,Handler/Cutter,"5'5"""
2026,mixed,2026 Pro Elite Challenge East,'Shine,"Nashville, Tennessee",shine_nashvilletennessee_mixed,Trip Adams,tripadams,95,Defense (Puller),"5'5"""
