team_id,team_name,school_name,city_state,region,section,competition_level,gender_division,team_page_url,wins,losses,games_scraped
+J1n7cYMLLX7Ml5OE0KyycMuqkmUSrylujGa+xqe3nc=,'Shine,,"Nashville, Tennessee",,,Club,Mixed,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=%2bJ1n7cYMLLX7Ml5OE0KyycMuqkmUSrylujGa%2bxqe3nc%3d,3,3,6
t9kyoopUddrOd4Qw0mDx8l2+ALeqFS6Be25yl+sRuqM=,2026 Albany Area Club Combine Tryout,,"Albany, New York",,,Club,Mixed,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=t9kyoopUddrOd4Qw0mDx8l2%2bALeqFS6Be25yl%2bsRuqM%3d,0,0,0
KWxYKIpIJWuh2sJfQOf1lQ2mWvSRoM4emfW0D4LacfQ=,Aged Cheddar,,"Burlington, Vermont",,,Club,Mixed,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=KWxYKIpIJWuh2sJfQOf1lQ2mWvSRoM4emfW0D4LacfQ%3d,2,3,5
t0xv2RZUltOZnrIqIKyiypvzYTK8rX8WMsC6HvJDRiA=,Akron Nimb,,"Akron, Ohio",,,Club,Mixed,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=t0xv2RZUltOZnrIqIKyiypvzYTK8rX8WMsC6HvJDRiA%3d,4,2,6
h9HbSWPMxMEIxJmaHz0Jzr1PV+93mOMGZiXE1kL6En8=,"All Jeeps, All Night. -A",,"Boulder, Colorado",,,Club,Mixed,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=h9HbSWPMxMEIxJmaHz0Jzr1PV%2b93mOMGZiXE1kL6En8%3d,1,4,5
YzUpgYaQcCrCX+sIH//aR5t9lk9029IiMkn7gL/ZS7Y=,Amber,,"Baton Rouge, Louisiana",,,Club,Mixed,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=YzUpgYaQcCrCX%2bsIH%2f%2faR5t9lk9029IiMkn7gL%2fZS7Y%3d,4,2,6
IjuvnsaidJFozom6mFuzRoywItNW/gTeLX5H49/zRF8=,American Barbecue,,"San Francisco, California",,,Club,Mixed,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=IjuvnsaidJFozom6mFuzRoywItNW%2fgTeLX5H49%2fzRF8%3d,3,3,6
YVgfgK7cUtaHxVj8zCMyjrN8KK6ef6HlwdbjIBlogls=,AMP,,"Philadelphia, Pennsylvania",,,Club,Mixed,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=YVgfgK7cUtaHxVj8zCMyjrN8KK6ef6HlwdbjIBlogls%3d,5,1,6
L3QhZPQqu2Y2qvNwKlCi95+57SQ8IzbSLTju6uBKDk4=,Amp Tryouts 2026,,"Philadelphia, Pennsylvania",,,Club,Mixed,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=L3QhZPQqu2Y2qvNwKlCi95%2b57SQ8IzbSLTju6uBKDk4%3d,0,0,0
k5DTLVH+Pibpdld1iZZJcWpSBiDjc1USO57S1shCJ2Y=,Ant Madness,,"Washington, District of Columbia",,,Club,Mixed,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=k5DTLVH%2bPibpdld1iZZJcWpSBiDjc1USO57S1shCJ2Y%3d,4,3,7
QRm0DdALHfBiZIcllz+e6v3ZHkNrY7mI3MH0OOrcX6Y=,Anthem,,"Baltimore, Maryland",,,Club,Mixed,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=QRm0DdALHfBiZIcllz%2be6v3ZHkNrY7mI3MH0OOrcX6Y%3d,0,6,6
7n7lpnQOO7MImiPbL+4FCEndg9no+1B8Dlz5xFURBHM=,Armory,,"Oklahoma City, Oklahoma",,,Club,Mixed,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=7n7lpnQOO7MImiPbL%2b4FCEndg9no%2b1B8Dlz5xFURBHM%3d,4,0,4
3NI2i4OENzG6RVIAmebkcb8y4mCZiV/MQmYCKZfxUIM=,Arms Race,,"Iowa City, Iowa",,,Club,Mixed,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=3NI2i4OENzG6RVIAmebkcb8y4mCZiV%2fMQmYCKZfxUIM%3d,0,3,3
