date,event,team_a,team_a_id,team_b,team_b_id,score_a,score_b,winner
June 06,Mixed Easterns 2026,Frolic,CixDYSw0+06QcuuIpY6kQxqFMYLPiEdZG+qHEnStnu8=,Siege,tJVwFzg4ktQa/6PF7NigeI+GtAyPRnywHJpGcPxFR2o=,2,15,Siege
June 06,Mixed Easterns 2026,Frolic,CixDYSw0+06QcuuIpY6kQxqFMYLPiEdZG+qHEnStnu8=,Vice,eO7rcVH72BrlwMrMpzET9wEIR2pm8HerpoOUi/643oA=,1,15,Vice
June 06,Mixed Easterns 2026,Frolic,CixDYSw0+06QcuuIpY6kQxqFMYLPiEdZG+qHEnStnu8=,Versa,YHEz3TsSlK5swDu0z+3ptvlD9BpBCBVnwRMNbnfyIcc=,3,13,Versa
June 06,Mixed Easterns 2026,Versa,YHEz3TsSlK5swDu0z+3ptvlD9BpBCBVnwRMNbnfyIcc=,Siege,tJVwFzg4ktQa/6PF7NigeI+GtAyPRnywHJpGcPxFR2o=,6,15,Siege
June 06,Mixed Easterns 2026,Versa,YHEz3TsSlK5swDu0z+3ptvlD9BpBCBVnwRMNbnfyIcc=,Vice,eO7rcVH72BrlwMrMpzET9wEIR2pm8HerpoOUi/643oA=,6,15,Vice
June 06,Mixed Easterns 2026,Vice,eO7rcVH72BrlwMrMpzET9wEIR2pm8HerpoOUi/643oA=,Siege,tJVwFzg4ktQa/6PF7NigeI+GtAyPRnywHJpGcPxFR2o=,6,9,Siege
June 13,Scuffletown Throwdown 2026,C’ville Sirens,4pnHv26a/A0ff2wEVchkAYFjRyHuu3gMctJpjHipmTM=,Shiver,daRj5mMpDPF4QsnU4d7D08fxkmw40YqrzVHKzg750/U=,4,11,Shiver
June 13,Scuffletown Throwdown 2026,C’ville Sirens,4pnHv26a/A0ff2wEVchkAYFjRyHuu3gMctJpjHipmTM=,Warhawks,OeQf0LMtSjAKiGN3sUG6VZmFuLuGl1gP9IrVHIEeQNo=,11,9,C’ville Sirens
June 13,Scuffletown Throwdown 2026,C’ville Sirens,4pnHv26a/A0ff2wEVchkAYFjRyHuu3gMctJpjHipmTM=,Scuffletownies,DCaheC7Ow1I2PmaHCurTWthRTjekDZUeWPMlmVPOzOk=,9,11,Scuffletownies
June 13,Scuffletown Throwdown 2026,Scuffletownies,DCaheC7Ow1I2PmaHCurTWthRTjekDZUeWPMlmVPOzOk=,Warhawks,OeQf0LMtSjAKiGN3sUG6VZmFuLuGl1gP9IrVHIEeQNo=,9,7,Scuffletownies
June 13,Scuffletown Throwdown 2026,Scuffletownies,DCaheC7Ow1I2PmaHCurTWthRTjekDZUeWPMlmVPOzOk=,Takedown,r0bqCrO+dXGVqZzmq9Twd540jX2k098MJpZso8kp+58=,3,13,Takedown
June 13,Scuffletown Throwdown 2026,Shiver,daRj5mMpDPF4QsnU4d7D08fxkmw40YqrzVHKzg750/U=,Takedown,r0bqCrO+dXGVqZzmq9Twd540jX2k098MJpZso8kp+58=,7,11,Takedown
June 13,Scuffletown Throwdown 2026,Virginia Rebellion,Oh9nhADni08mWOZdN8xZ/WwEV1sh782NxbWgfdOn6HY=,Shiver,daRj5mMpDPF4QsnU4d7D08fxkmw40YqrzVHKzg750/U=,6,11,Shiver
June 13,Scuffletown Throwdown 2026,Virginia Rebellion,Oh9nhADni08mWOZdN8xZ/WwEV1sh782NxbWgfdOn6HY=,Takedown,r0bqCrO+dXGVqZzmq9Twd540jX2k098MJpZso8kp+58=,4,10,Takedown
June 13,Scuffletown Throwdown 2026,Virginia Valkyrie,1DiuR67hWUJ20xZb19zMDebvXF56TYJ7aSv4y9DZyvs=,C’ville Sirens,4pnHv26a/A0ff2wEVchkAYFjRyHuu3gMctJpjHipmTM=,4,12,C’ville Sirens
June 13,Scuffletown Throwdown 2026,Virginia Valkyrie,1DiuR67hWUJ20xZb19zMDebvXF56TYJ7aSv4y9DZyvs=,Scuffletownies,DCaheC7Ow1I2PmaHCurTWthRTjekDZUeWPMlmVPOzOk=,4,13,Scuffletownies
June 13,Scuffletown Throwdown 2026,Warhawks,OeQf0LMtSjAKiGN3sUG6VZmFuLuGl1gP9IrVHIEeQNo=,Virginia Rebellion,Oh9nhADni08mWOZdN8xZ/WwEV1sh782NxbWgfdOn6HY=,12,4,Warhawks
June 13,Zephyr Round Robin 2026,Agency,91r6CIVRGkoGTOdqPlfvmGf/mjOpYjrD0jVpMU3MZto=,Pizza Rat,TlwW50CEPCBYqeop0pBEqLxedYOGoq0HIEqqJxSpovI=,13,8,Agency
June 13,Zephyr Round Robin 2026,Agency,91r6CIVRGkoGTOdqPlfvmGf/mjOpYjrD0jVpMU3MZto=,Brooklyn Book Club,HvnsCQ4IDKOIXUAhS41UpPk9wHjkq22D1FF58Rpc1QM=,12,5,Agency
June 13,Zephyr Round Robin 2026,Agency,91r6CIVRGkoGTOdqPlfvmGf/mjOpYjrD0jVpMU3MZto=,Loose Cannon,SGbwO1ld7B6zQZzyBVgiyfBJjdpom4Hoe6Jv806fQwU=,12,7,Agency
June 13,Zephyr Round Robin 2026,Brooklyn Book Club,HvnsCQ4IDKOIXUAhS41UpPk9wHjkq22D1FF58Rpc1QM=,Zephyr,kEwVNKvN8xHG+d2G99dxY02vN4ZLu6tYcEQPP8EDH4Y=,6,10,Zephyr
June 13,Zephyr Round Robin 2026,Brooklyn Book Club,HvnsCQ4IDKOIXUAhS41UpPk9wHjkq22D1FF58Rpc1QM=,Pine Baroness,LXOHjYYpVrZa8DLVaekmq7FwSGAkMrw4xsDggl4rNuo=,13,6,Brooklyn Book Club
June 13,Zephyr Round Robin 2026,Dissent,2NU0e3qLxjMy7agdKRW46zb2zYG2MVke8OGRr1x8qw0=,Brooklyn Book Club,HvnsCQ4IDKOIXUAhS41UpPk9wHjkq22D1FF58Rpc1QM=,1,13,Brooklyn Book Club
June 13,Zephyr Round Robin 2026,Dissent,2NU0e3qLxjMy7agdKRW46zb2zYG2MVke8OGRr1x8qw0=,Pine Baroness,LXOHjYYpVrZa8DLVaekmq7FwSGAkMrw4xsDggl4rNuo=,8,6,Dissent
June 13,Zephyr Round Robin 2026,Dissent,2NU0e3qLxjMy7agdKRW46zb2zYG2MVke8OGRr1x8qw0=,Zephyr,kEwVNKvN8xHG+d2G99dxY02vN4ZLu6tYcEQPP8EDH4Y=,2,13,Zephyr
June 13,Zephyr Round Robin 2026,Loose Cannon,SGbwO1ld7B6zQZzyBVgiyfBJjdpom4Hoe6Jv806fQwU=,Pizza Rat,TlwW50CEPCBYqeop0pBEqLxedYOGoq0HIEqqJxSpovI=,10,8,Loose Cannon
