team_id,team_name,school_name,city_state,region,section,competition_level,gender_division,team_page_url,wins,losses,games_scraped
vpt9YsLqU/DGzNiQizo0nRXdyssHDBf4/4Zkus3gFYk=,6ixers,,"Toronto, Ontario CA",,,Club,Women,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=vpt9YsLqU%2fDGzNiQizo0nRXdyssHDBf4%2f4Zkus3gFYk%3d,0,0,0
91r6CIVRGkoGTOdqPlfvmGf/mjOpYjrD0jVpMU3MZto=,Agency,,"Washington, District of Columbia",,,Club,Women,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=91r6CIVRGkoGTOdqPlfvmGf%2fmjOpYjrD0jVpMU3MZto%3d,4,0,4
Ju10RWDcZ8sUzj/alfEd4xRFCT5lQLYwQlnLIexQpZI=,BENT,,"New York, New York",,,Club,Women,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=Ju10RWDcZ8sUzj%2falfEd4xRFCT5lQLYwQlnLIexQpZI%3d,5,1,6
beftOObSKrG8GGCdOampGuRuGgNtskKC9+kNhvpBrC4=,Boomers,,"Milwuaukee, Wisconsin",,,Club,Women,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=beftOObSKrG8GGCdOampGuRuGgNtskKC9%2bkNhvpBrC4%3d,0,0,0
hwwuNa0hjilWR/+cLIpzNT48SNjn962mmNLQpWLuIlA=,Boston Siege Tryouts 2026,,"Medford, Massachusetts",,,Club,Women,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=hwwuNa0hjilWR%2f%2bcLIpzNT48SNjn962mmNLQpWLuIlA%3d,0,0,0
HvnsCQ4IDKOIXUAhS41UpPk9wHjkq22D1FF58Rpc1QM=,Brooklyn Book Club,,"Brooklyn, New York",,,Club,Women,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=HvnsCQ4IDKOIXUAhS41UpPk9wHjkq22D1FF58Rpc1QM%3d,2,2,4
ep9Sx/pt65+FXnOFfcEoQY1nzAkGH9OSkhppVwntn1g=,Brute Squad,,"Boston, Massachusetts",,,Club,Women,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=ep9Sx%2fpt65%2bFXnOFfcEoQY1nzAkGH9OSkhppVwntn1g%3d,6,0,6
frB9chieqo3Oq5tmwyMIgfqcsbnunlA6YPP8MhdRejQ=,Calypso,,"Tampa, Florida",,,Club,Women,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=frB9chieqo3Oq5tmwyMIgfqcsbnunlA6YPP8MhdRejQ%3d,4,2,6
tjDkiyXPaqxyf4TV/kXd9VbFNia1ZMo/6dunt3Bx5LE=,Central Wisconsin Phoenix,,"Stevens Point, Wisconsin",,,Club,Women,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=tjDkiyXPaqxyf4TV%2fkXd9VbFNia1ZMo%2f6dunt3Bx5LE%3d,0,0,0
QPPBn8Jz0ExezQbR5jsfBfoTDlzWD1Woc2bf+G7LzA8=,CHAOS,,"Charleston, South Carolina",,,Club,Women,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=QPPBn8Jz0ExezQbR5jsfBfoTDlzWD1Woc2bf%2bG7LzA8%3d,3,3,6
